id,className,a-index,inDeg,isKey?,OSE
1,org.mars_sim.msp.config.model.types.descriptors.MineralFrequencyTypeDescriptor,0,0,0,0
2,org.mars_sim.msp.mapdata.SurfaceMapData,3.5,1,0,0.017480067
3,org.mars_sim.msp.ui.swing.tool.mission.create.DestinationSettlementPanel.SettlementTableModel,99.2,1,2,0.033463353
4,org.mars_sim.msp.core.structure.building.function.JUnitTests,0,0,0,0
5,org.mars_sim.msp.config.model.manufacturing.descriptors.SalvageDescriptor,0,0,0,0
6,org.mars_sim.msp.core.person.ai.mission.RoverMission,79.48148,12,0,6.933876983
7,org.mars_sim.msp.ui.swing.tool.resupply.SupplyTableModel.SupplyItem,17,2,0,0.185353856
8,org.mars_sim.msp.config.model.people.OxygenDeprivationTime,19,1,2,0.026224408
9,org.mars_sim.msp.core.interplanetary.transport.resupply.ResupplyConfig.ResupplyTemplate,8,1,2,0.06588736
10,org.mars_sim.msp.ui.swing.unit_window.InventoryTabPanel,62.88889,4,0,0.049772346
11,org.mars_sim.msp.ui.swing.tool.mission.MissionWindow,36.625,1,0,0.18050182
12,org.mars_sim.msp.ui.swing.unit_window.person.TabPanelAttribute,87.5,1,2,0.010977086
13,org.mars_sim.msp.ui.swing.tool.monitor.BarChartTab.TableBarDataset,6,1,2,0.05065923
14,org.mars_sim.msp.config.model.malfunction.descriptors.EffectDescriptor,0,0,0,0
15,org.mars_sim.msp.core.person.ai.task.AreologyStudyFieldWork,83.82353,1,0,0.022401713
16,org.mars_sim.msp.ui.swing.tool.monitor.TradeTab.TradeColumnModifier,10,1,0,0.023710556
17,org.mars_sim.msp.config.model.malfunction.descriptors.EffectListDescriptor,0,0,0,0
18,org.mars_sim.msp.core.person.ai.task.MaintainGroundVehicleGarage,91.888885,0,0,0
19,org.mars_sim.msp.ui.swing.tool.mission.create.LightUtilityVehiclePanel.VehicleTableModel,89.375,1,0,0.027273702
20,org.mars_sim.msp.ui.swing.tool.map.UnitMapLayer,60.636364,3,0,0.067187947
21,org.mars_sim.msp.config.model.settlement.descriptors.SettlementNameListDescriptor,0,0,0,0
