id,className,a-index,inDeg,isKey?,OSE
1,org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool.DBVendor,41.5,1,0,0.021943718
2,org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask,142,0,2,0
3,org.apache.tools.ant.types.Assertions.DisabledAssertion,8,1,0,0.029142334
4,org.apache.tools.ant.taskdefs.ManifestException,8.2,6,0,2.225709165
5,org.apache.tools.ant.taskdefs.optional.junit.BaseTest,13.75,3,0,0.596350978
6,org.apache.tools.ant.taskdefs.optional.net.RExecTask.RExecSubTask,115.25,3,0,0.169778506
7,org.apache.tools.ant.types.EnumeratedAttribute,64.22222,70,0,17.90331076
8,org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.SummaryAttribute,50,1,0,0.021265903
9,org.apache.tools.ant.util.RegexpPatternMapper,121.5,0,0,0
10,org.apache.tools.ant.taskdefs.optional.vss.MSVSSConstants,19,1,0,0.236512688
11,org.apache.tools.ant.taskdefs.XSLTProcess,148.81818,2,2,0.057947738
12,org.apache.tools.ant.taskdefs.optional.ide.VAJImport.LocalDirectoryScanner,40,1,0,0.021265903
13,org.apache.tools.ant.taskdefs.condition.Os,63.272728,16,2,2.936883086
14,org.apache.tools.ant.types.optional.image.BasicShape,7,3,0,0.097381517
15,org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbcException,5.75,4,0,0.683621069
16,org.apache.tools.ant.taskdefs.optional.vss.MSVSS.WritableFiles,26,3,0,0.412768944
17,org.apache.tools.ant.taskdefs.optional.metamata.AbstractMetamataTask,132.38461,4,0,0.600435769
18,org.apache.tools.ant.listener.AnsiColorLogger,175,0,0,0
19,org.apache.tools.ant.input.InputHandler,162.2,5,0,29.43654115
20,org.apache.tools.ant.taskdefs.Move,193.28572,1,0,0.013907675
21,org.apache.tools.ant.filters.util.JavaClassHelper,0,0,0,0
22,org.apache.tools.ant.taskdefs.optional.dotnet.Ildasm.VisibilityOptions,71,0,0,0
23,org.apache.tools.ant.DemuxInputStream,176,1,0,0.029193801
24,org.apache.tools.ant.taskdefs.optional.Script,314.75,0,0,0
25,org.apache.tools.ant.types.optional.depend.DependScanner,125.4,1,0,0.036589381
26,org.apache.tools.ant.AntTypeDefinition,139.33333,7,0,1.767876686
27,org.apache.tools.ant.taskdefs.optional.ide.VAJTask.VAJLocalToolUtil,92.333336,1,0,0.031499144
28,org.apache.tools.ant.filters.TokenFilter.FileTokenizer,77.25,2,0,0.059621784
29,org.apache.tools.mail.MailPrintStream,5,1,0,0.103391491
30,org.apache.tools.ant.taskdefs.Cvs,16,0,0,0
31,org.apache.tools.ant.util.DOMElementWriter,9.8,5,0,0.096014878
32,org.apache.tools.ant.types.PropertySet.PropertyRef,156,1,0,0.200193031
33,org.apache.tools.ant.types.FilterSetCollection,76.5,5,0,25.09082904
34,org.apache.tools.ant.taskdefs.MacroDef.TemplateElement,157,2,0,0.045878838
35,org.apache.tools.ant.taskdefs.Replace.NestedString,6,2,0,0.299718778
36,org.apache.tools.ant.taskdefs.optional.extension.Compatibility,8,2,0,1.375279927
37,org.apache.tools.ant.taskdefs.optional.depend.constantpool.MethodRefCPInfo,9.5,2,0,0.18581208
38,org.apache.tools.ant.taskdefs.MacroDef.MyAntTypeDefinition,120.333336,1,0,0.050858074
39,org.apache.tools.ant.taskdefs.optional.sitraka.Triggers,10.5,1,0,0.094771998
40,org.apache.tools.ant.taskdefs.optional.junit.PlainJUnitResultFormatter,119.25,0,0,0
41,org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,139.625,1,2,0.020105532
42,org.apache.tools.ant.taskdefs.optional.ejb.JbossDeploymentTool,207,1,0,0.047023355
43,org.apache.tools.ant.taskdefs.Definer.OnError,42.5,1,0,0.126676242
44,org.apache.tools.ant.taskdefs.optional.sitraka.ReportFilters.Include,6.3333335,2,0,0.086628467
45,org.apache.tools.ant.taskdefs.optional.Javah.ClassArgument,9,1,0,0.077567934
46,org.apache.tools.ant.taskdefs.Parallel.TaskList,181.25,1,0,0.044509884
47,org.apache.tools.ant.taskdefs.Echo,314.75,0,0,0
48,org.apache.tools.ant.taskdefs.Recorder.ActionChoices,39,1,0,0.021265903
49,org.apache.tools.ant.taskdefs.condition.IsReference,180,1,0,0.044617254
50,org.apache.tools.ant.taskdefs.Copydir,231.33333,0,0,0
51,org.apache.tools.ant.taskdefs.optional.ide.VAJToolsServlet,121.25,4,0,0.764826279
52,org.apache.tools.ant.taskdefs.optional.StyleBook,240.5,0,0,0
