id,className,a-index,inDeg,isKey?,OSE
1,org.argouml.uml.cognitive.checklist.ChAttribute,15,0,0,0
2,org.argouml.uml.ColumnDstLinkType,68,1,0,0.224095054
3,org.argouml.cognitive.ui.ToDoPane,60.125,4,0,1.618889687
4,org.argouml.application.events.ArgoEventPump.Pair,9.5,1,0,0.041716727
5,org.argouml.ui.ActionGoToDetails,53.4,2,0,0.222250738
6,org.argouml.application.api.PluggablePropertyPanel,9,0,0,0
7,org.argouml.uml.cognitive.critics.CrUML,60.25,92,1,57.35270411
8,org.argouml.uml.ui.foundation.core.PropPanelAssociationEnd,28.6,1,0,0.016787133
9,org.argouml.uml.TableModelOper,34.75,1,0,0.007980327
10,org.argouml.uml.ui.UMLChangeDispatch,37,2,0,27.73179053
11,org.argouml.uml.diagram.state.ui.GoStateToSubstate,51,1,0,0.044681028
12,org.argouml.uml.cognitive.critics.CrUnconventionalOperName,92.666664,1,0,0.008055952
13,org.argouml.uml.TableModelTarget,19.5,1,0,1.244729991
14,org.argouml.uml.ui.UMLVisibilityPanel,18.833334,3,0,0.056062627
15,org.argouml.ui.ActionNavConfig,43.4,1,0,0.012522961
16,org.argouml.uml.diagram.layout.Layouter,4.5,1,0,0.019185752
17,org.argouml.uml.ColumnCommunication,68,1,0,0.224095054
18,org.argouml.cognitive.ui.WizStepConfirm,14.25,1,0,0.029543252
19,org.argouml.kernel.HistoryEvent,7.6666665,3,0,0.122681842
20,org.argouml.uml.diagram.deployment.ui.DeploymentDiagramRenderer,13.333333,1,0,0.386910433
21,org.argouml.uml.ColumnParent,44.5,1,0,0.224095054
22,org.argouml.uml.diagram.static_structure.ui.GoAssocToTarget,51,1,0,0.021680611
23,org.argouml.cognitive.ui.GoListToDecisionsToItems,48.285713,2,0,0.044206636
24,org.argouml.uml.diagram.static_structure.ui.FigInstance,23.5,1,0,0.017451083
25,org.argouml.uml.cognitive.critics.CrNoInitialState,110.25,1,0,0.008055952
26,org.argouml.cognitive.ui.ToDoByType,41.857143,1,0,0.035476783
27,org.argouml.ui.ComponentResizer,54,1,0,0.833931397
28,org.argouml.language.java.Token.Operator,12,1,0,0.729218824
29,org.argouml.uml.diagram.ui.PropPanelString,20,2,0,0.038001865
30,org.argouml.uml.diagram.state.ui.UMLStateDiagram,26.8,4,0,0.048961422
31,org.argouml.ui.DisplayTextTree,25.75,3,0,0.208070225
32,org.argouml.uml.ui.UMLReflectionListModel,17.7,17,2,1.589888747
33,org.argouml.uml.ColumnLeaf,68,1,0,0.224095054
34,org.argouml.cognitive.ui.GoalsDialog,60.5,3,0,0.120728375
35,org.argouml.uml.reveng.java.ParseState,5.6666665,1,0,0.379793486
36,org.argouml.ui.HistoryListModel,5.6666665,1,0,0.016372636
37,org.argouml.uml.diagram.sequence.ui.TablePanelUMLSequenceDiagram,12.5,0,0,0
38,org.argouml.application.security.ArgoClassLoader,8,1,0,0.018332217
39,org.argouml.kernel.History,43.5,4,1,1.799723374
40,org.argouml.uml.generator.ui.ClassGenerationDialog,52.5,2,0,0.050427847
41,org.argouml.cognitive.critics.CompositeCM,6.5,3,0,0.075361084
42,org.argouml.language.java.generator.CodePieceCollector,11,3,0,0.18326866
43,org.argouml.uml.ColumnDstMultiplicity,38,1,0,0.224095054
44,org.argouml.ui.ActionOpenCritics,29.333334,1,0,0.012522961
45,org.argouml.uml.diagram.static_structure.ui.GoClassToAggrClass,51,1,0,0.021680611
46,org.argouml.uml.ColumnGuard,38,1,0,0.224095054
47,org.argouml.uml.reveng.java.JavaRecognizer,5.3333335,2,0,0.185821041
48,org.argouml.uml.cognitive.critics.CrConflictingComposites,110.25,1,0,0.008055952
49,org.argouml.ocl.OCLEvaluator,50.5,3,0,3.328714152
50,org.argouml.uml.ColumnClassKeyword,35,1,0,0.224095054
51,org.argouml.kernel.Project,45.692307,60,1,8.216146301
52,org.argouml.uml.ui.foundation.extension_mechanisms.PropPanelStereotype,33,1,0,0.016787133
53,org.argouml.language.java.generator.SimpleCodePiece,12.666667,2,0,1.301349369
54,org.argouml.ui.FindDialog,53.5,2,0,0.095687077
55,org.argouml.cognitive.ui.GoListToTypeToItem,54.666668,2,0,0.044232659
56,org.argouml.uml.ui.behavior.common_behavior.PropPanelObject,33.625,1,0,0.016787133
57,org.argouml.application.modules.ModuleLoader.JarFileFilter,8,1,0,0.008960118
