id,className,a-index,inDeg,isKey?,OSE
1,org.gjt.sp.jedit.search.HyperSearchFileNode,70.5,3,0,0.035174746
2,org.gjt.sp.jedit.gui.JCheckBoxList.Entry,3,3,0,0.074017112
3,org.gjt.sp.jedit.indent.IndentAction.NoIncrease,41.333332,1,0,0.005175946
4,org.gjt.sp.jedit.syntax.XModeHandler,76.25,3,0,0.206723167
5,org.gjt.sp.jedit.search.HyperSearchResults.RemoveTreeNodeAction,171,1,0,0.008949138
6,org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.ColumnHandler,20,1,0,0.005345407
7,installer.OperatingSystem.Windows.JEditLauncherOSTask,12,0,0,0
8,org.gjt.sp.jedit.bufferio.BufferLoadRequest,100,1,0,0.063220525
9,org.gjt.sp.jedit.pluginmgr.InstallPanel,73.2,10,2,0.366853944
10,org.gjt.sp.jedit.gui.FilesChangedDialog.ActionHandler,8,1,0,0.020084533
11,org.jedit.keymap.KeymapImpl,64,1,0,0.00958796
12,org.gjt.sp.jedit.options.StatusBarOptionPane,90.333336,2,0,0.156880623
13,org.gjt.sp.jedit.gui.DockablePanel.ResizeMouseHandler,20,1,0,0.03192327
14,org.gjt.sp.jedit.browser.MkDirBrowserTask,66,1,0,0.02844955
15,org.gjt.sp.jedit.textarea.DisplayManager.MutableInteger,20,1,0,0.055227053
16,org.gjt.sp.jedit.io.XMLEncodingDetector,88,0,0,0
17,org.jedit.keymap.KeymapManagerImpl,91.166664,2,0,0.619188965
18,org.gjt.sp.jedit.browser.BrowserCommandsMenu.ActionHandler,79.5,1,0,0.008049528
19,org.gjt.sp.jedit.gui.RegisterViewer.ListHandler,17.333334,1,0,0.004607329
20,org.gjt.sp.jedit.bsh.CommandLineReader,69,1,0,0.063988388
21,org.gjt.sp.jedit.bufferset.BufferSet.Scope,0,0,0,0
22,org.gjt.sp.util.Log.LogOutputStream,2,1,0,0.017220697
23,org.gjt.sp.jedit.textarea.StandaloneTextArea,43.846153,0,0,0
24,org.gjt.sp.jedit.gui.GrabKeyDialog,126.2,3,0,0.166710514
25,org.gjt.sp.jedit.bsh.BshClassManager,31.583334,12,0,0.788916556
26,org.gjt.sp.jedit.pluginmgr.ManagePanel.ManagePanelRestoreHandler,25,1,0,0.016340673
27,org.gjt.sp.jedit.options.AbbrevsOptionPane.HeaderMouseHandler,14,1,0,0.004627934
28,org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorDialog.MyActionListener,90.5,1,0,0.00459363
29,org.gjt.sp.jedit.GUIUtilities,66.45,132,2,21.65165468
30,org.jedit.keymap.KeymapFileFilter,8,1,0,0.004723671
31,org.gjt.sp.jedit.gui.ExtendedGridLayout,1,0,0,0
32,org.gjt.sp.jedit.bsh.BlockNameSpace,35.555557,4,0,0.069257885
33,org.gjt.sp.jedit.textarea.JEditTextArea,68.882355,30,1,1.180089182
34,org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget,102.57143,2,0,0.034746303
35,org.gjt.sp.jedit.gui.ShortcutPrefixActiveEvent,53.25,3,0,0.042765176
36,org.gjt.sp.jedit.bsh.CollectionManager,25,4,0,0.035762686
37,org.gjt.sp.jedit.bsh.classpath.BshClassPath.DirClassSource,9.5,1,0,0.015929731
38,org.gjt.sp.jedit.gui.statusbar.LineSepWidgetFactory,58.5,0,0,0
39,org.gjt.sp.jedit.options.ToolBarEditDialog,113.42857,2,0,0.035573055
40,org.gjt.sp.jedit.Autosave,151.75,1,0,0.61374052
41,org.gjt.sp.jedit.gui.SplashScreen,216.66667,1,0,0.485282486
42,org.gjt.sp.jedit.browser.DeleteBrowserTask,66,1,0,0.02844955
43,org.gjt.sp.jedit.gui.DockableWindowManager.DockingArea,25,2,0,0.324315188
