id,className,a-index,inDeg,isKey?,OSE
1,org.jhotdraw.test.util.UndoCommandTest,39.5,0,0,0
2,org.jhotdraw.standard.OrderedFigureElement,75.5,1,0,0.09990222
3,org.jhotdraw.util.CommandMenu,26.166666,4,0,2.632174455
4,org.jhotdraw.test.util.collections.jdk11.IteratorWrapperTest,25.666666,0,0,0
5,org.jhotdraw.test.framework.FigureChangeEventTest,31,0,0,0
6,org.jhotdraw.contrib.zoom.MiniMapZoomableView,73,0,0,0
7,org.jhotdraw.standard.CutCommand.UndoActivity,52.42857,1,0,0.055104257
8,org.jhotdraw.util.JDOStorageFormat,59.666668,1,0,0.115351139
9,org.jhotdraw.util.CommandChoice,37.666668,2,0,0.410357003
10,org.jhotdraw.contrib.TextAreaTool.UndoActivity,76.5,1,0,0.023573695
11,org.jhotdraw.test.contrib.CTXCommandMenuTest,7,0,0,0
12,org.jhotdraw.test.standard.ToolButtonTest,39,0,0,0
13,org.jhotdraw.standard.AbstractLocator,25,5,0,0.759839588
14,org.jhotdraw.standard.RelativeLocator,34.81818,23,2,5.813483924
15,org.jhotdraw.standard.StandardDrawingView.DrawingViewMouseMotionListener,36,1,0,0.027867895
16,org.jhotdraw.standard.NullPainter,74.5,0,0,0
17,org.jhotdraw.test.contrib.SplitConnectionToolTest,35.25,0,0,0
18,org.jhotdraw.test.standard.DragTrackerTest,42.333332,0,0,0
19,org.jhotdraw.test.samples.javadraw.JavadrawSuite,0,0,0,0
20,org.jhotdraw.standard.AlignCommand,59.333332,2,0,0.879711915
21,org.jhotdraw.contrib.html.HTMLLayouter,24.5,0,0,0
22,org.jhotdraw.test.contrib.JScrollPaneDesktopTest,5,0,0,0
23,org.jhotdraw.util.PaletteListener,30,4,0,0.954211955
24,org.jhotdraw.test.standard.StandardSuite,0,0,0,0
25,org.jhotdraw.test.util.CommandChoiceTest,4,0,0,0
26,org.jhotdraw.standard.AbstractCommand.EventDispatcher,24.4,2,0,2.983967975
27,org.jhotdraw.standard.ConnectionTool,52.07143,9,0,3.382896186
28,org.jhotdraw.test.contrib.CustomSelectionToolTest,40,0,0,0
29,org.jhotdraw.contrib.html.FigureContentProducerContext,6,1,0,0.084804969
30,org.jhotdraw.standard.BoxHandleKit,34.875,9,0,1.528060158
31,org.jhotdraw.test.util.StandardVersionControlStrategyTest,40,0,0,0
32,org.jhotdraw.test.standard.ChangeAttributeCommandTest,35.666668,0,0,0
33,org.jhotdraw.contrib.PolygonHandle,46.166668,2,0,0.257615642
34,org.jhotdraw.test.samples.pert.PertApplicationTest,10,0,0,0
35,org.jhotdraw.contrib.html.ResourceManagerNotSetException,6,5,0,0.601034158
36,org.jhotdraw.test.contrib.JPanelDesktopTest,40,0,0,0
37,org.jhotdraw.standard.ChangeConnectionHandle,57.5,2,0,0.675476089
38,org.jhotdraw.test.samples.javadraw.URLToolTest,41.5,0,0,0
39,org.jhotdraw.test.samples.nothing.AllTests,12,1,0,0.042402484
40,org.jhotdraw.test.util.PaletteIconTest,40.5,0,0,0
41,org.jhotdraw.test.samples.minimap.MiniMapDesktopTest,7,0,0,0
42,org.jhotdraw.contrib.ComponentFigure,32,2,0,0.180332685
43,org.jhotdraw.test.util.UtilSuite,0,0,0,0
44,org.jhotdraw.standard.ActionTool,73.833336,1,0,0.0425042
45,org.jhotdraw.standard.DecoratorFigure,40.583332,2,2,0.284176764
46,org.jhotdraw.contrib.html.HTMLTextAreaFigure,37.76923,1,2,0.044910351
47,org.jhotdraw.util.collections.jdk11.CollectionsFactoryJDK11,21,1,0,0.115351139
48,org.jhotdraw.test.contrib.CustomToolBarTest,2,0,0,0
49,org.jhotdraw.figures.BorderDecorator,44.5,2,0,0.340788255
50,org.jhotdraw.util.ColorEntry,6,1,0,0.844413733
51,org.jhotdraw.test.util.UndoableToolTest,29.75,0,0,0
52,org.jhotdraw.test.standard.CreationToolTest,47.333332,0,0,0
53,org.jhotdraw.util.FloatingTextField,17,3,2,1.318396535
54,org.jhotdraw.contrib.ChopPolygonConnector,54,2,0,0.257615642
55,org.jhotdraw.samples.javadraw.PatternPainter,51,1,0,0.115351139
56,org.jhotdraw.util.StandardVersionControlStrategy,30,3,0,0.328030628
57,org.jhotdraw.figures.PolyLineHandle,41.375,3,0,0.483422391
58,org.jhotdraw.util.Iconkit,32.333332,9,0,1.947773882
59,org.jhotdraw.test.util.GraphLayoutTest,7,0,0,0
60,org.jhotdraw.contrib.TextAreaTool,58.1,3,0,0.245219309
61,org.jhotdraw.test.util.CommandButtonTest,29.333334,0,0,0
