id,className,a-index,inDeg,isKey?,OSE
1,org.apache.jmeter.util.keystore.JmeterKeyStore,5,5,2,1.033133383
2,org.apache.jmeter.engine.util.ValueReplacer,24.875,3,2,1.712080621
3,org.apache.jmeter.samplers.SampleResult.Test,22,0,0,0
4,org.apache.jmeter.junit.JMeterTestCase,19,8,2,0.722349925
5,org.apache.jmeter.engine.event.LoopIterationListener,13,4,2,0.695745808
6,org.apache.jmeter.util.BeanShellServer,37.5,2,0,0.122648618
7,org.apache.jmeter.gui.action.AddParent,36.5,0,0,0
8,org.apache.jmeter.gui.util.PowerTableModel,9,1,0,0.355609492
9,org.apache.jmeter.engine.util.UndoVariableReplacement,18,1,2,0.094896011
10,org.apache.jmeter.gui.util.FocusRequester,9.666667,4,0,0.285523207
11,org.apache.jmeter.control.LoopController.Test,20.8,0,2,0
12,org.apache.jmeter.gui.tree.JMeterTreeNode,23.454546,21,0,16.56555106
13,org.apache.jmeter.engine.util.AbstractTransformer,8.4,3,0,0.963148312
14,org.apache.jmeter.gui.action.Start,24,0,2,0
15,org.apache.jmeter.gui.util.JMeterColor,1,1,0,0.022763758
16,org.apache.jmeter.gui.action.ActionRouter,22.88889,12,2,4.328269918
17,org.apache.jmeter.testelement.property.StringProperty,23,21,2,18.17329317
18,org.apache.jmeter.functions.AbstractFunction,13.285714,0,2,0
19,org.apache.jmeter.gui.util.TextAreaTableCellEditor.EditorDelegate,1,1,0,0.393374347
20,org.apache.jmeter.functions.InvalidVariableException,9.285714,10,2,3.371772192
21,org.apache.jmeter.control.gui.WorkBenchGui,31.833334,1,0,0.200655922
22,org.apache.jmeter.save.DataSource,22,0,0,0
23,org.apache.jmeter.gui.action.Help,29.4,1,0,0.030351678
24,org.apache.jmeter.testbeans.gui.PackageTest,20,0,0,0
25,org.apache.jmeter.gui.action.EnableComponent,23.75,0,0,0
26,org.apache.jmeter.plugin.JMeterPlugin,13.5,2,0,0.174051235
27,org.apache.jmeter.threads.gui.ThreadGroupGui,26.2,1,2,0.04964904
28,org.apache.jmeter.engine.TreeCloner.Test,16.285715,0,0,0
29,org.apache.jmeter.testelement.property.JMeterProperty,21.333334,28,2,56.34381443
30,org.apache.jmeter.testelement.VariablesCollection,10,0,0,0
31,org.apache.jmeter.gui.action.Copy,18.8,2,2,0.04894977
32,org.apache.jmeter.testelement.property.LongProperty,25.4,4,2,1.863922623
33,org.apache.jmeter.engine.RemoteJMeterEngine,5.3333335,2,2,0.393941398
34,org.apache.jmeter.testelement.property.IntegerProperty,24.4,5,2,1.826199611
35,org.apache.jmeter.engine.util.FunctionParser,13,1,0,0.344038864
36,org.apache.jmeter.gui.util.MenuFactory,21.2,12,2,4.270347952
37,org.apache.jmeter.util.ColorHelper,0,0,0,0
38,org.apache.jmeter.engine.StandardJMeterEngine,15.222222,4,2,0.608684546
39,org.apache.jmeter.engine.StandardJMeterEngine.StopTest,18,1,0,0.039718394
40,org.apache.jmeter.gui.JMeterGUIComponent,26.444445,11,1,7.343836752
41,org.apache.jmeter.testbeans.TestBeanBeanInfo,0,0,0,0
42,org.apache.jmeter.testelement.property.PropertyIterator,21.545454,17,2,11.66276933
43,org.apache.jmeter.control.NoEntryException,0,0,0,0
44,org.apache.jmeter.reporters.AbstractListenerElement,16.5,2,0,0.352396251
45,org.apache.jmeter.control.gui.IfControllerPanel,31,0,0,0
