id,className,a-index,inDeg,isKey?,OSE
1,org.apache.catalina.tribes.ChannelMessage,27,39,2,1.288163598
2,org.apache.catalina.core.AsyncContextImpl.RunnableWrapper,56.333332,1,0,0.006856981
3,org.apache.catalina.startup.TestTomcat.HelloWorldJndi,90.5,1,0,0.012830164
4,org.apache.jasper.compiler.Node.ParamsAction,53.555557,6,0,0.043360631
5,org.apache.catalina.filters.TestRemoteIpFilter,76.25,0,2,0
6,org.apache.catalina.ha.ClusterMessage,26.5,16,2,0.540166623
7,org.apache.tomcat.util.bcel.classfile.Synthetic,37.75,1,0,0.018369047
8,org.apache.catalina.connector.Response,53.090908,73,1,3.813429819
9,javax.servlet.jsp.tagext.TagExtraInfo,21.142857,8,0,0.217959099
10,org.apache.jasper.el.JspELException,29,2,0,0.041795485
11,org.apache.el.lang.VariableMapperImpl,14,1,0,0.007038268
12,javax.servlet.jsp.tagext.ValidationMessage,16.8,7,2,0.096976352
13,org.apache.catalina.valves.AccessLogValve.AccessLogElement,63.2,36,2,0.702657579
14,org.apache.catalina.authenticator.BasicAuthenticator,74.454544,3,0,0.009615691
15,org.apache.catalina.tribes.tipis.ReplicatedMapEntry,13.666667,3,0,0.044515399
16,org.apache.el.TesterBeanC,6.75,1,0,0.004678574
17,org.apache.catalina.filters.AddDefaultCharsetFilter.ResponseWrapper,43,1,0,0.007892886
18,org.apache.catalina.filters.RequestFilter,76.625,2,0,0.023371275
19,org.apache.catalina.util.ManifestResource,5,1,2,0.040388155
20,org.apache.catalina.valves.AccessLogValve.ResponseHeaderElement,81,1,0,0.006578031
21,org.apache.el.parser.AstDotSuffix,39,1,0,0.007914763
22,org.apache.jasper.compiler.Node.FallBackAction,58.142857,4,0,0.032088637
23,org.apache.tomcat.util.http.fileupload.FileItemFactory,8.25,4,2,0.053349463
24,org.apache.tomcat.jni.Multicast,0,0,0,0
25,javax.el.PropertyNotWritableException,24.5,16,2,0.227742018
26,org.apache.catalina.ha.deploy.FarmWarDeployer,76,0,2,0
27,org.apache.catalina.filters.TestCsrfPreventionFilter.NonEncodingResponse,6,1,2,0.016190261
28,org.apache.coyote.AsyncStateMachine.PrivilegedSetTccl,15,1,0,0.042106429
29,org.apache.catalina.startup.DuplicateMappingParamFilter,58,0,0,0
30,org.apache.catalina.ha.backend.MultiCastSender,98.666664,1,0,0.005058294
31,javax.servlet.jsp.JspFactory,44.857143,2,0,0.014655535
32,org.apache.catalina.startup.TomcatBaseTest.HelloWorldServlet,105.8,1,0,0.003097837
33,org.apache.jasper.compiler.Node.AttributeGenerator,49.857143,3,0,0.028627767
34,org.apache.catalina.util.ParameterMap,76.75,3,0,0.19204425
35,org.apache.el.parser.AstIdentifier,32.625,1,2,0.007914763
36,org.apache.catalina.ssi.ExpressionParseTree.NotNode,9,1,0,0.013982777
37,org.apache.catalina.core.TestNamingContextListener,65,0,0,0
38,org.apache.catalina.valves.AccessLogValve.LocalServerNameElement,81,1,0,0.003248165
39,org.apache.coyote.http11.filters.TestChunkedInputFilter.EchoHeaderServlet,104.2,1,0,0.009524065
40,org.apache.catalina.valves.Benchmarks.TimeDateElementBenchmarkTest_LocalStruct.Struct,3,1,0,0.003982933
41,org.apache.tomcat.util.buf.UDecoder,41.4,2,0,0.222120949
42,org.apache.jasper.compiler.Node.TagDirective,45.3,7,0,0.063862795
43,org.apache.coyote.http11.AbstractHttp11Processor,57.8125,3,0,2.51339467
44,javax.el.ValueExpression,23.333334,19,2,0.568463547
45,org.apache.catalina.valves.SemaphoreValve,81.42857,0,0,0
46,javax.servlet.jsp.PageContext,45.307693,18,2,0.598258483
47,org.apache.catalina.core.ContainerBase.PrivilegedAddChild,55.5,1,0,0.040603008
48,org.apache.catalina.startup.TaglibLocationRule,44.25,1,0,0.015835006
49,org.apache.catalina.tribes.group.interceptors.FragmentationInterceptor.FragCollection,27.333334,1,0,0.015065174
50,examples.FooTag,14.333333,0,0,0
51,org.apache.catalina.filters.CsrfPreventionFilter,101.8,0,2,0
52,org.apache.catalina.filters.RemoteHostFilter,87.85714,0,0,0
53,org.apache.tomcat.jni.ProcErrorCallback,0,0,0,0
54,org.apache.catalina.valves.Benchmarks.GetDateBenchmarkTest_LocalStruct,9,1,0,0.003097837
55,org.apache.catalina.core.AsyncContextImpl.PrivilegedSetTccl,5,1,0,0.015112846
56,org.apache.naming.resources.TestNamingContext.Bug50351Servlet,104.4,1,0,0.004678574
57,org.apache.catalina.tribes.test.channel.TestUdpPackages.Listener,30.75,1,0,0.011170064
58,javax.servlet.SessionCookieConfig,34.666668,6,0,0.185987851
59,org.apache.catalina.core.TestStandardContext.Bug50015SCI,47.42857,1,0,0.003097837
60,org.apache.jasper.compiler.Mark,33,45,2,4.072779728
61,org.apache.catalina.core.TestAsyncContextImpl.NonAsyncServlet,106.2,1,0,0.009524065
62,org.apache.naming.java.javaURLContextFactory,7.3333335,0,2,0
63,org.apache.catalina.valves.AccessLogValve.QueryElement,81,1,0,0.003248165
64,org.apache.catalina.ssi.SSIServletExternalResolver,62.3,2,2,0.012932936
65,org.apache.catalina.mbeans.GlobalResourcesLifecycleListener,52.333332,0,2,0
66,org.apache.catalina.tribes.transport.MultiPointSender,28.875,6,2,0.073011528
67,org.apache.jasper.compiler.Node.TaglibDirective,45.88889,6,0,0.045996989
68,org.apache.catalina.valves.AccessLogValve.ThreadNameElement,68.2,1,0,0.003248165
69,org.apache.jasper.tagplugins.jstl.core.Import,14.333333,0,0,0
70,org.apache.tomcat.util.threads.TaskThread,5.5,2,0,0.03354608
71,org.apache.catalina.security.SecurityUtil,72.933334,12,2,0.454469517
72,org.apache.tomcat.util.DomUtil,81.25,3,0,0.166527016
73,org.apache.tomcat.util.http.TestCookiesDisallowEquals,35,0,0,0
74,org.apache.jasper.el.JspPropertyNotFoundException,13.666667,2,2,0.041795485
75,org.apache.catalina.core.AprLifecycleListener,86.25,2,2,1.999875855
76,org.apache.coyote.AsyncStateMachine,36.8,7,0,0.499137442
77,org.apache.jasper.compiler.SmapStratum,13.333333,4,2,0.092900828
78,org.apache.coyote.RequestInfo,25.538462,14,0,0.46681206
79,org.apache.tomcat.util.net.AbstractEndpoint.Handler.SocketState,0,0,0,0
80,javax.el.ELContextListener,9.666667,2,0,0.016968439
81,org.apache.coyote.http11.InternalAprOutputBuffer.SocketOutputBuffer,38,1,0,0.004024913
