id,className,a-index,inDeg,isKey?,OSE
1,ro.isdc.wro.model.resource.Resource,29.866667,92,1,71.94177194
2,ro.isdc.wro.extensions.processor.css.RubySassCssProcessor,65.166664,3,0,0.175477666
3,ro.isdc.wro.extensions.model.resource.ConfigurableAntPathPatternsResourceAuthorizationManager,13,1,0,0.089192889
4,ro.isdc.wro.model.resource.support.hash.AbstractDigesterHashStrategy,27.25,2,0,0.236507379
5,ro.isdc.wro.maven.plugin.TestCssLintMojo,25.75,0,0,0
6,ro.isdc.wro.util.WroUtil,43.5,51,2,6.867067098
7,ro.isdc.wro.model.resource.locator.UriLocator,24,21,1,6.380344759
8,ro.isdc.wro.http.handler.ReloadModelRequestHandler,27.857143,3,0,0.04821466
9,ro.isdc.wro.model.resource.support.AbstractConfigurableStrategySupport,9.857142,9,2,1.966582599
10,ro.isdc.wro.model.TestWroModelInspector,44.2,0,0,0
11,ro.isdc.wro.extensions.processor.support.csslint.TestCssLint,6,0,0,0
12,ro.isdc.wro.extensions.processor.support.emberjs.EmberJs,9.5,1,0,0.02052036
13,ro.isdc.wro.model.resource.support.DefaultResourceAuthorizationManager,30.666666,4,0,0.34144056
14,ro.isdc.wro.runner.Wro4jCommandLineRunner,36.909092,0,0,0
15,ro.isdc.wro.extensions.processor.support.linter.AbstractLinter,31.166666,7,0,0.97998392
16,ro.isdc.wro.manager.factory.SimpleWroManagerFactory,28.666666,1,0,0.033619752
17,ro.isdc.wro.extensions.processor.TestCJsonProcessor,57,0,0,0
18,ro.isdc.wro.cache.factory.CacheKeyFactory,27,9,0,0.992887265
19,ro.isdc.wro.extensions.processor.TestYUICssCompressorProcessor,75.666664,0,0,0
20,ro.isdc.wro.model.factory.ModelTransformerFactory,47,1,0,0.135601681
21,ro.isdc.wro.extensions.script.RhinoUtils,13,1,0,0.775074984
22,ro.isdc.wro.extensions.processor.TestRubySassCssProcessor,37,0,0,0
23,ro.isdc.wro.extensions.processor.js.CJsonProcessor,66.333336,2,0,0.064008066
24,ro.isdc.wro.util.Transformers,35,2,0,0.755287462
25,ro.isdc.wro.http.TestConfigurableWroFilterWithExtensions,34.714287,0,0,0
26,ro.isdc.wro.model.resource.TestResource,93,0,0,0
27,ro.isdc.wro.extensions.manager.ExtensionsConfigurableWroManagerFactory,8.5,1,0,0.018448408
28,ro.isdc.wro.model.resource.locator.factory.DefaultUriLocatorFactory,28.444445,5,0,0.64990271
29,ro.isdc.wro.model.resource.processor.ImportAware,12.2,6,0,0.439454486
30,ro.isdc.wro.extensions.processor.TestNodeLessCssProcessor,73,0,0,0
31,ro.isdc.wro.util.Base64.OutputStream,2,1,0,0.085342356
32,ro.isdc.wro.model.resource.locator.support.DispatcherStreamLocator,17.2,5,0,0.397047459
33,ro.isdc.wro.model.resource.processor.impl.css.DuplicatesAwareCssDataUriPreProcessor,11,2,0,0.04138168
34,ro.isdc.wro.maven.plugin.TestWro4jMojo.CustomNamingStrategyWroManagerFactory,16.5,1,0,0.012084279
35,ro.isdc.wro.http.TestConfigurableWroFilter.SampleConfigurableWroFilter,45.166668,0,0,0
36,ro.isdc.wro.model.resource.ResourceType,50.5,2,1,25.85065735
37,ro.isdc.wro.model.resource.processor.TestCssMinProcessor,46.25,0,0,0
38,ro.isdc.wro.model.resource.processor.support.ProcessingType,0,0,0,0
39,ro.isdc.wro.extensions.processor.support.dustjs.TestDustJs,25.333334,0,0,0
40,ro.isdc.wro.model.resource.support.change.ResourceWatcher,40.333332,3,0,0.379780126
41,ro.isdc.wro.model.resource.support.hash.SHA1HashStrategy,21.6,6,0,0.192979144
42,ro.isdc.wro.model.group.InvalidGroupNameException,47.333332,2,0,0.585889002
43,ro.isdc.wro.model.resource.locator.factory.TestConfigurableLocatorFactory,12.857142,0,0,0
44,ro.isdc.wro.http.support.ServletContextAttributeHelper,22.833334,6,2,1.64659501
45,ro.isdc.wro.model.resource.processor.decorator.TestMinimizeAwareProcessorDecorator.MinimizeAwareProcessor,72,1,0,0.045430179
46,ro.isdc.wro.model.factory.DefaultWroModelFactoryDecorator,30.666666,4,0,0.173153869
47,ro.isdc.wro.model.factory.TestFallbackAwareWroModelFactory,54,0,0,0
48,ro.isdc.wro.extensions.processor.js.JsHintProcessor,14.4,4,0,0.149449669
49,ro.isdc.wro.extensions.processor.support.sass.SassCss,35.8,1,0,0.058130601
50,ro.isdc.wro.extensions.processor.support.cjson.CJson,35.6,1,0,0.04933716
51,ro.isdc.wro.model.resource.processor.decorator.TestLazyProcessorDecorator,52,0,0,0
52,ro.isdc.wro.maven.plugin.TestWro4jMojo.ExceptionThrowingWroManagerFactory,33.25,0,0,0
53,ro.isdc.wro.manager.factory.ConfigurableWroManagerFactory,38.2,4,0,0.472861621
54,ro.isdc.wro.model.resource.locator.ServletContextUriLocator.LocatorStrategy,0,0,0,0
55,ro.isdc.wro.model.resource.support.MutableResourceAuthorizationManager,14.333333,2,0,0.32087689
56,ro.isdc.wro.model.resource.processor.support.JawrCssMinifier.MatcherProcessorCallback,0,0,0,0
57,ro.isdc.wro.manager.TestWroManager,53.066666,2,0,0.048365697
58,ro.isdc.wro.extensions.model.factory.TestGroovyModelFactory,40.88889,0,0,0
59,ro.isdc.wro.http.taglib.AbstractResourceTag,0,0,0,0
60,ro.isdc.wro.model.resource.processor.decorator.TestProcessorDecorator.ImportAwareProcessor,10.666667,1,0,0.012084279
61,ro.isdc.wro.model.factory.WroModelFactory,31.733334,49,1,8.144250924
62,ro.isdc.wro.model.group.processor.InjectorBuilder,26.333334,3,0,0.12178679
63,ro.isdc.wro.model.resource.locator.wildcard.WildcardContext,5.5,3,2,0.330394916
64,ro.isdc.wro.util.StopWatch.TaskInfo,23,1,0,3.165186839
65,ro.isdc.wro.model.resource.processor.TestCommentStripperProcessor,64,0,0,0
66,ro.isdc.wro.model.resource.processor.TestDuplicateAwareCssDataUriPreProcessor,94.75,0,0,0
67,ro.isdc.wro.model.factory.TestConfigurableModelFactory,12.5,0,0,0
68,ro.isdc.wro.model.resource.processor.decorator.TestExceptionHandlingProcessorDecorator,72.5,0,0,0
69,ro.isdc.wro.model.resource.processor.TestJawrCssMinifierProcessor,58,0,0,0
70,ro.isdc.wro.model.resource.processor.impl.css.AbstractCssUrlRewritingProcessor,47.666668,2,0,0.227952059
71,ro.isdc.wro.http.handler.factory.RequestHandlerFactory,11.75,4,0,0.376365764
72,ro.isdc.wro.model.group.processor.TestGroupsProcessor,51.88889,0,0,0
73,ro.isdc.wro.extensions.model.factory.TestConfigurableModelFactory,10,0,0,0
74,ro.isdc.wro.cache.impl.TestMemoryCacheStrategy,29.166666,0,0,0
75,ro.isdc.wro.extensions.processor.TestDojoShrinksafeCompressorProcessor,56.666668,0,0,0
76,ro.isdc.wro.http.handler.spi.TestDefaultRequestHandlerProvider,68.25,0,0,0
77,ro.isdc.wro.model.resource.processor.TestJsMinProcessor,82.6,0,0,0
78,ro.isdc.wro.model.resource.support.naming.FolderHashEncoderNamingStrategy,13.8,3,0,0.05884853
79,ro.isdc.wro.http.support.ResponseHeadersConfigurer,32.25,6,0,1.028973164
80,ro.isdc.wro.model.resource.locator.wildcard.TestDefaultWildcardStreamLocator,23.75,0,0,0
81,ro.isdc.wro.manager.factory.standalone.DefaultStandaloneContextAwareManagerFactory,34.666668,9,0,0.325085403
82,ro.isdc.wro.extensions.processor.TestBourbonCssProcessor,51.5,0,0,0
83,ro.isdc.wro.examples.panel.TwitterBar,0,0,0,0
84,ro.isdc.wro.manager.TestWroManager.WroManagerProcessor,58.666668,1,0,0.012515527
85,ro.isdc.wro.model.resource.processor.impl.css.CssCompressorProcessor,63.2,3,0,0.073471254
86,ro.isdc.wro.cache.factory.CacheKeyFactoryDecorator,17.666666,1,0,0.089192889
87,ro.isdc.wro.extensions.processor.support.linter.JsLint,9,2,0,0.057998056
88,ro.isdc.wro.model.resource.processor.factory.ProcessorsFactory,23.714285,28,2,4.803502651
89,ro.isdc.wro.http.support.TestAbstractProcessorsFilter,9.5,0,0,0
90,ro.isdc.wro.cache.CacheKey,18.5,19,2,4.897924404
91,ro.isdc.wro.manager.callback.LifecycleCallbackDecorator,6.5,1,0,0.074253546
92,ro.isdc.wro.http.handler.LazyRequestHandlerDecorator,21,3,0,0.331746436
93,ro.isdc.wro.model.resource.processor.support.JawrCssMinifier,11,1,0,0.041162853
94,ro.isdc.wro.config.jmx.WroConfigurationMBean,64,1,0,15.11515957
95,ro.isdc.wro.cache.support.AbstractSynchronizedCacheStrategyDecorator,19.666666,2,0,0.042249107
96,ro.isdc.wro.extensions.processor.css.Less4jProcessor,77,2,0,0.069819833
97,ro.isdc.wro.http.handler.factory.DefaultRequestHandlerFactory,9.5,4,0,0.212440093
98,ro.isdc.wro.model.factory.TestModelTransformerFactory,60.666668,0,0,0
99,ro.isdc.wro.extensions.model.factory.SmartWroModelFactory,34.875,4,0,0.55224053
100,ro.isdc.wro.extensions.processor.support.less.LessCss,36.4,2,0,0.107554466
101,ro.isdc.wro.model.resource.processor.support.TestFallbackCssDataUriUrlInspector,41.666668,0,0,0
